order,species,family,locomotion,logmass,mig,hetero,abslat,latitude,diet,hemisphere,habitat_category,habitat_sub,mig.het1,mig.het2
Carnivora,Speothos_venaticus,Canidae,T,3.78,0,0,7.17,-7.17,Carnivore,S,Forest,TRF,0,0
Diprotodontia,Spilocuscus_maculatus,Phalangeridae,T,3.81,0,0,5.67,-5.67,Herbivore,S,Forest,TRF,0,0
Cetacea,Stenella_longirostris,Delphinidae,W,4.7,0,0,1.13,-1.13,Carnivore,S,Marine,MP,0,0
Chiroptera,Stenoderma_rufum,Phyllostomidae,A,1.31,0,0,18.22,18.22,Frugivore,N,Forest,TRF,0,0
Rodentia,Stochomys_longicaudatus,Muridae,T,1.85,0,0,0.77,0.77,Omnivore,N,Forest,TRF,0,0
Chiroptera,Sturnira_lilium,Phyllostomidae,A,1.28,0,0,6.4,-6.4,Frugivore,S,Forest,TRF,0,0
Carnivora,Suricata_suricatta,Herpestidae,T,2.86,0,0,26.09,-26.09,Carnivore,S,Shrubland,TRS,0,0
Artiodactyla,Sylvicapra_grimmia,Bovidae,T,4.29,0,0,6.33,-6.33,Herbivore,S,Forest,TRF,0,0
Lagomorpha,Sylvilagus_floridanus,Leporidae,T,3.07,0,0,33.66,33.66,Herbivore,N,Forest,TEF,0,0
Lagomorpha,Sylvilagus_nuttallii,Leporidae,T,2.88,0,0,42.74,42.74,Herbivore,N,Forest,TEF,0,0
Rodentia,Synaptomys_borealis,Muridae,T,1.33,0,0,57.65,57.65,Omnivore,N,Forest,BF,0,0
Rodentia,Synaptomys_cooperi,Muridae,T,1.5,0,0,43.97,43.97,Omnivore,N,Forest,BF,0,0
Rodentia,Tachyoryctes_splendens,Muridae,T,2.33,0,0,4.69,4.69,Omnivore,N,Forest,TRF,0,0
Rodentia,Tamiasciurus_douglasii,Sciuridae,T,2.35,0,0,44.19,44.19,Herbivore,N,Forest,BF,0,0
Rodentia,Tamiasciurus_hudsonicus,Sciuridae,T,2.3,0,0,53.68,53.68,Herbivore,N,Forest,BF,0,0
Rodentia,Tatera_indica,Muridae,T,2.22,0,0,25.26,25.26,Omnivore,N,Forest,TRF,0,0
Rodentia,Thallomys_paedulcus,Muridae,T,1.91,0,0,12.45,-12.45,Omnivore,S,Shrubland,TRS,0,0
Rodentia,Thomomys_talpoides,Geomyidae,T,2.11,0,0,46.19,46.19,Herbivore,N,Forest,TEF,0,0
Artiodactyla,Tragelaphus_angasii,Bovidae,T,4.94,0,0,22.12,-22.12,Herbivore,S,Forest,TRF,0,0
Artiodactyla,Tragelaphus_scriptus,Bovidae,T,4.64,0,0,2.19,-2.19,Herbivore,S,Forest,TRF,0,0
Diprotodontia,Trichosurus_vulpecula,Phalangeridae,T,3.42,0,0,26.19,-26.19,Herbivore,S,Forest,TEF,0,0
Scandentia,Tupaia_belangeri,Tupaiidae,T,2.3,0,0,20.96,20.96,Insectivore,N,Forest,TRF,0,0
Scandentia,Tupaia_glis,Tupaiidae,T,2.2,0,0,1.08,1.08,Insectivore,N,Forest,TRF,0,0
Carnivora,Urocyon_cinereoargenteus,Canidae,T,3.58,0,0,33.13,33.13,Carnivore,N,Forest,TEF,0,0
Carnivora,Urocyon_littoralis,Canidae,T,3.28,0,0,33.64,33.64,Carnivore,N,Forest,TEF,0,0
Rodentia,Uromys_caudimaculatus,Muridae,T,2.81,0,0,6.35,-6.35,Omnivore,S,Forest,TRF,0,0
Artiodactyla,Vicugna_vicugna,Camelidae,T,4.68,0,0,18.44,-18.44,Herbivore,S,Shrubland,TRS,0,0
Carnivora,Viverra_civettina,Viverridae,T,3.81,0,0,10.86,10.86,Carnivore,N,Fresh_water,FWW,0,0
Carnivora,Viverra_megaspila,Viverridae,T,3.97,0,0,17.24,17.24,Carnivore,N,Forest,TRF,0,0
Carnivora,Viverra_tangalunga,Viverridae,T,4,0,0,1.81,1.81,Carnivore,N,Forest,TRF,0,0
Carnivora,Viverra_zibetha,Viverridae,T,4,0,0,23.19,23.19,Carnivore,N,Forest,TRF,0,0
Carnivora,Vulpes_velox,Canidae,T,3.34,0,0,38.51,38.51,Carnivore,N,Grassland,GTE,0,0
Carnivora,Vulpes_vulpes,Canidae,T,3.78,0,0,50.18,50.18,Carnivore,N,Forest,BF,0,0
Rodentia,Xerus_inauris,Sciuridae,T,2.8,0,0,25.33,-25.33,Omnivore,S,Savanna,GS,0,0
Rodentia,Xerus_princeps,Sciuridae,T,2.98,0,0,21.18,-21.18,Omnivore,S,Savanna,GS,0,0
