species	logmass3	region3	migstatus3	locomotion3
Phyllostomus_discolor	1.57	tropical	0	A
Vampyrum_spectrum	2.23	tropical	0	A
Macrotus_waterhousii	1.11	tropical	0	A
Macrotus_californicus	1.07	subtropical	0	A
Diaemus_youngi	1.56	tropical	0	A
Desmodus_rotundus	1.52	subtroptropical	1	A
Diphylla_ecaudata	1.47	tropical	0	A
Noctilio_leporinus	1.78	tropical	0	A
Asellia_tridens	1.08	subtroptropical	1	A
Hipposideros_commersoni	2	tropical	1	A
Hipposideros_caffer	0.98	subtroptropical	0	A
Triaenops_persicus	1.1	subtroptropical	1	A
Rhinolophus_landeri	0.95	tropical	1	A
Rhinolophus_euryale	0.91	temperatesubtrop	0	A
Rhinolophus_mehelyi	1.09	subtropical	0	A
Rhinolophus_hipposideros	0.67	temperatesubtrop	1	A
Rhinolophus_ferrumequinum	1.32	temperatesubtrop	0	A
Rhinolophus_blasii	0.99	temperatesubtrop	0	A
Nycteris_grandis	1.48	tropical	0	A
Nycteris_thebaica	0.99	tropical	0	A
Macroderma_gigas	2.1	tropical	0	A
Lavia_frons	1.38	tropical	0	A
Cardioderma_cor	1.44	tropical	0	A
Saccopteryx_bilineata	0.91	tropical	0	A
Emballonura_monticola	0.73	tropical	1	A
Taphozous_mauritianus	1.44	subtroptropical	1	A
Taphozous_longimanus	1.43	tropical	0	A
Taphozous_australis	1.36	tropical	0	A
Taphozous_nudiventris	1.53	subtroptropical	1	A
Pteropus_scapulatus	2.65	subtroptropical	1	A
Pteropus_poliocephalus	2.88	subtropical	1	A
Pteropus_alecto	2.83	subtroptropical	1	A
Dobsonia_minor	1.89	tropical	0	A
Syconycteris_australis	1.23	subtroptropical	0	A
Macroglossus_minimus	1.2	tropical	0	A
Epomophorus_wahlbergi	1.96	tropical	1	A
Nanonycteris_veldkampi	1.33	tropical	1	A
Myonycteris_torquata	1.63	tropical	1	A
Eidolon_helvum	2.4	subtroptropical	1	A
Cynopterus_brachyotis	1.5	tropical	0	A
Ptenochirus_jagori	1.89	tropical	0	A
Arctictis_binturong	4.11	tropical	0	T
Prionodon_linsang	2.85	tropical	0	T
Atilax_paludinosus	3.52	subtroptropical	0	T
Crossarchus_obscurus	3.1	tropical	0	T
Crossarchus_ansorgei	2.85	tropical	0	T
Crossarchus_alexandri	3.18	tropical	0	T
Mungos_mungo	3.28	tropical	0	T
Mungos_gambianus	3.18	tropical	0	T
Hyaena_hyaena	4.66	subtroptropical	0	T
Crocuta_crocuta	4.8	tropical	1	T
Puma_concolor	4.71	tropical	1	T
Leopardus_wiedii	3.51	subtroptropical	0	T
Panthera_tigris	5.21	tempsubtroptropical	0	T
Panthera_onca	5	subtroptropical	0	T
Panthera_pardus	4.75	tempsubtroptropical	0	T
Otocyon_megalotis	3.62	subtroptropical	0	T
Vulpes_corsac	3.38	temperate	1	T
Nyctereutes_procyonoides	3.61	temperatesubtrop	0	T
Speothos_venaticus	3.78	tropical	0	T
Lycaon_pictus	4.34	subtroptropical	0	T
Canis_lupus	4.63	global	1	T
Ailuropoda_melanoleuca	5.04	subtropical	1	T
Melursus_ursinus	5	subtroptropical	0	T
